Year,Harvest,Fire disturbance,Transect,Quadrat,Organic layer depth (cm),Organic Eriophorum vaginatum fine roots (g/m2),Organic Eriophorum vaginatum fine roots (gC/m2),Organic Eriophorum vaginatum fine roots (gN/m2),Organic Other fine roots (g/m2),Organic Other fine roots C (gC/m2),Organic Other fine roots N (gN/m2),Organic Coarse roots (g/m2),Organic Coarse C roots (gC/m2),Organic Coarse roots N (gN/m2),Organic Total fine root (g/m2),Organic Total fine root C (gC/m2),Organic Total fine root N (gN/m2),Organic Total root biomass (g/m2),Organic Total root C (gC/m2),Organic Total root N (gN/m2),Organic Erivag Root C:N,Organic Other Fine Root C:N,Organic Fine Root C:N,Organic Root total C:N,Mineral layer depth (cm),Mineral Eriophorum vaginatum fine roots (g/m2),Mineral Eriophorum vaginatum fine roots (gC/m2),Mineral Eriophorum vaginatum fine roots (gN/m2),Mineral Other fine roots (g/m2),Mineral Other fine roots C (gC/m2),Mineral Other fine roots N (gN/m2),Mineral Coarse roots (g/m2),Mineral Coarse C roots (gC/m2),Mineral Coarse roots N (gN/m2),Mineral Total fine root (g/m2),Mineral Total fine root C (gC/m2),Mineral Total fine root N (gN/m2),Mineral Total root biomass (g/m2),Mineral Total root C (gC/m2),Mineral Total root N (gN/m2),Mineral Erivag Root C:N,Mineral Other Fine Root C:N,Mineral Fine Root C:N,Mineral Root total C:N,O+M Total Roots (g/m2),O+M Total Root C (gC/m2),O+M Total Root N (gN/m2),O+M Total Root C:N
2011,ARF,Severe Burn,101,2,5.5,12.111,5.208,0.242,0.000,0.000,0.000,0.000,0.000,0.000,12.111,5.208,0.242,12.111,5.208,0.242,21.500,.,21.500,21.500,39,3.173,1.099,0.028,10.835,4.332,0.124,0.000,0.000,0.000,14.008,5.431,0.152,14.008,5.431,0.152,39.264,35.040,35.820,35.820,26.119,10.639,0.394,27.013
2011,ARF,Severe Burn,101,4,13.75,1.016,0.437,0.020,69.477,32.120,0.639,0.000,0.000,0.000,70.493,32.556,0.659,70.493,32.556,0.659,21.500,50.297,49.409,49.409,31,6.098,2.296,0.045,325.674,133.647,3.479,0.000,0.000,0.000,331.772,135.943,3.523,331.772,135.943,3.523,51.345,38.419,38.583,38.583,402.265,168.499,4.182,40.289
2011,ARF,Severe Burn,101,6,20.5,0.000,0.000,0.000,20.793,10.074,0.248,0.000,0.000,0.000,20.793,10.074,0.248,20.793,10.074,0.248,.,40.680,40.680,40.680,21,0.000,0.000,0.000,59.758,25.524,0.756,0.000,0.000,0.000,59.758,25.524,0.756,59.758,25.524,0.756,.,33.774,33.774,33.774,80.552,35.598,1.003,35.479
2011,ARF,Severe Burn,101,8,15.5,71.144,30.907,1.571,0.000,0.000,0.000,0.000,0.000,0.000,71.144,30.907,1.571,71.144,30.907,1.571,19.676,.,19.676,19.676,36,64.986,25.405,0.565,24.209,9.749,0.184,0.000,0.000,0.000,89.194,35.154,0.749,89.194,35.154,0.749,44.959,53.005,46.935,46.935,160.338,66.061,2.320,28.477
2011,ARF,Severe Burn,101,10,5.75,0.000,0.000,0.000,10.293,4.840,0.086,0.000,0.000,0.000,10.293,4.840,0.086,10.293,4.840,0.086,.,56.453,56.453,56.453,30,5.324,2.185,0.027,27.532,11.915,0.277,0.000,0.000,0.000,32.856,14.099,0.304,32.856,14.099,0.304,80.842,42.979,46.342,46.342,43.149,18.939,0.390,48.565
2011,ARF,Moderate Burn,103,2,21.75,0.000,0.000,0.000,82.606,37.330,1.295,65.654,33.366,0.299,82.606,37.330,1.295,148.260,70.696,1.595,.,28.817,28.817,44.329,5,0.000,0.000,0.000,3.118,1.471,0.049,0.000,0.000,0.000,3.118,1.471,0.049,3.118,1.471,0.049,.,30.284,30.284,30.284,151.378,72.167,1.643,43.914
2011,ARF,Moderate Burn,103,4,10.5,193.381,88.905,0.972,23.778,12.201,0.165,0.000,0.000,0.000,217.158,101.107,1.138,217.158,101.107,1.138,91.436,73.728,88.860,88.860,37,26.983,9.802,0.248,10.576,4.624,0.133,0.000,0.000,0.000,37.559,14.426,0.382,37.559,14.426,0.382,39.455,34.727,37.806,37.806,254.717,115.533,1.519,76.039
2011,ARF,Moderate Burn,103,6,12.5,32.063,14.688,0.245,174.281,84.327,1.483,0.000,0.000,0.000,206.344,99.014,1.727,206.344,99.014,1.727,60.068,56.877,57.329,57.329,30,16.038,4.753,0.222,4.804,2.127,0.052,0.000,0.000,0.000,20.842,6.880,0.274,20.842,6.880,0.274,21.422,40.705,25.098,25.098,227.186,105.894,2.001,52.914
2011,ARF,Moderate Burn,103,8,19.25,61.389,28.440,0.411,177.171,74.409,1.345,327.309,165.461,1.339,238.560,102.849,1.756,565.869,268.310,3.095,69.187,55.323,58.568,86.699,39,5.048,1.664,0.101,1.299,0.580,0.017,0.000,0.000,0.000,6.347,2.244,0.118,6.347,2.244,0.118,16.480,34.922,19.087,19.087,572.216,270.554,3.212,84.224
2011,ARF,Moderate Burn,103,10,12.25,1.493,0.683,0.009,18.873,8.561,0.131,0.000,0.000,0.000,20.366,9.244,0.140,20.366,9.244,0.140,74.872,65.542,66.151,66.151,24,19.145,5.357,0.299,0.444,0.198,0.006,0.000,0.000,0.000,19.588,5.556,0.304,19.588,5.556,0.304,17.940,34.922,18.256,18.256,39.954,14.799,0.444,33.328
