Date,Year,Day,Hour_Min,Sev Temp 1,Sev Temp 2,Sev Temp 3,Sev Temp 4,Sev Temp 5,Sev Temp 6,Sev PA 1,Sev PA 2,Sev PA 3,Sev PA 4,Sev PA 5,Sev PA 6,Sev Calc. VWC 1,Sev Calc. VWC 2,Sev Calc. VWC 3,Sev Calc. VWC 4,Sev Calc. VWC 5,Sev Calc. VWC 6
24-Jul-2010 12:00,2010,205,1200,6.35,4.74,6.22,6.85,6.22,8.21,26.37,32.70,35.53,26.24,22.94,36.82,22.94,36.26,43.34,22.70,17.18,46.76
24-Jul-2010 12:30,2010,205,1230,6.43,4.76,6.36,6.92,6.29,8.43,26.37,32.70,35.53,26.24,22.94,36.82,22.94,36.26,43.34,22.70,17.18,46.76
24-Jul-2010 13:00,2010,205,1300,6.52,4.81,6.65,7.04,6.49,8.75,26.36,32.69,35.52,26.24,22.94,36.80,22.94,36.26,43.28,22.70,17.12,46.70
24-Jul-2010 13:30,2010,205,1330,6.65,4.89,6.92,7.18,6.71,9.04,26.35,32.67,35.51,26.24,22.93,36.79,22.94,36.20,43.28,22.70,17.12,46.64
24-Jul-2010 14:00,2010,205,1400,6.80,4.98,7.11,7.35,6.94,9.19,26.34,32.65,35.50,26.23,22.92,36.78,22.88,36.14,43.22,22.70,17.12,46.64
24-Jul-2010 14:30,2010,205,1430,6.97,5.08,7.19,7.56,7.13,9.26,26.33,32.63,35.49,26.23,22.91,36.76,22.88,36.08,43.22,22.70,17.12,46.58
24-Jul-2010 15:00,2010,205,1500,7.17,5.19,7.23,7.76,7.34,9.33,26.32,32.61,35.48,26.22,22.91,36.75,22.88,36.02,43.16,22.70,17.12,46.58
24-Jul-2010 15:30,2010,205,1530,7.36,5.30,7.32,7.95,7.55,9.44,26.30,32.58,35.47,26.21,22.90,36.73,22.82,36.02,43.16,22.70,17.12,46.52
24-Jul-2010 16:00,2010,205,1600,7.56,5.40,7.47,8.09,7.72,9.53,26.29,32.56,35.46,26.21,22.89,36.71,22.82,35.96,43.16,22.64,17.06,46.46
24-Jul-2010 16:30,2010,205,1630,7.74,5.50,7.60,8.21,7.90,9.55,26.28,32.53,35.45,26.20,22.88,36.70,22.82,35.90,43.10,22.64,17.06,46.40
24-Jul-2010 17:00,2010,205,1700,7.90,5.58,7.70,8.30,8.02,9.52,26.26,32.51,35.44,26.19,22.88,36.68,22.76,35.84,43.10,22.64,17.06,46.34
24-Jul-2010 17:30,2010,205,1730,8.08,5.66,7.78,8.41,8.11,9.52,26.25,32.48,35.43,26.19,22.87,36.66,22.76,35.72,43.04,22.64,17.06,46.34
24-Jul-2010 18:00,2010,205,1800,8.25,5.73,7.81,8.49,8.20,9.51,26.23,32.45,35.43,26.18,22.86,36.64,22.70,35.66,43.04,22.64,17.00,46.28
24-Jul-2010 18:30,2010,205,1830,8.40,5.80,7.80,8.55,8.25,9.53,26.22,32.42,35.42,26.17,22.85,36.63,22.70,35.60,43.04,22.58,17.00,46.22
24-Jul-2010 19:00,2010,205,1900,8.47,5.81,7.77,8.55,8.25,9.49,26.21,32.39,35.41,26.16,22.84,36.62,22.64,35.54,42.98,22.58,17.00,46.22
24-Jul-2010 19:30,2010,205,1930,8.52,5.84,7.73,8.54,8.24,9.44,26.20,32.35,35.40,26.16,22.83,36.61,22.64,35.48,42.98,22.58,17.00,46.16
24-Jul-2010 20:00,2010,205,2000,8.52,5.86,7.68,8.52,8.23,9.35,26.19,32.31,35.39,26.15,22.82,36.60,22.64,35.36,42.92,22.58,16.94,46.16
24-Jul-2010 20:30,2010,205,2030,8.50,5.86,7.57,8.43,8.18,9.18,26.18,32.28,35.38,26.14,22.81,36.59,22.64,35.30,42.92,22.52,16.94,46.16
24-Jul-2010 21:00,2010,205,2100,8.45,5.85,7.41,8.36,8.11,8.96,26.17,32.26,35.37,26.13,22.81,36.59,22.58,35.24,42.92,22.52,16.94,46.10
24-Jul-2010 21:30,2010,205,2130,8.38,5.83,7.24,8.27,8.01,8.74,26.16,32.24,35.37,26.13,22.80,36.58,22.58,35.18,42.86,22.52,16.94,46.10
24-Jul-2010 22:00,2010,205,2200,8.28,5.79,7.06,8.17,7.92,8.53,26.16,32.19,35.36,26.12,22.79,36.56,22.58,35.06,42.86,22.52,16.94,46.04
24-Jul-2010 22:30,2010,205,2230,8.16,5.75,6.88,8.07,7.81,8.36,26.15,32.10,35.36,26.11,22.79,36.55,22.58,34.88,42.86,22.46,16.94,46.04
24-Jul-2010 23:00,2010,205,2300,8.04,5.70,6.72,7.97,7.71,8.21,26.15,32.08,35.35,26.11,22.79,36.55,22.58,34.82,42.86,22.46,16.94,46.04
24-Jul-2010 23:30,2010,205,2330,7.93,5.67,6.58,7.89,7.59,8.06,26.15,32.04,35.35,26.10,22.78,36.55,22.58,34.76,42.86,22.46,16.94,46.04
25-Jul-2010 00:00,2010,205,2400,7.81,5.61,6.42,7.80,7.45,7.89,26.15,32.02,35.34,26.10,22.78,36.55,22.58,34.70,42.86,22.46,16.94,46.04
25-Jul-2010 00:30,2010,206,30,7.69,5.54,6.27,7.71,7.29,7.73,26.15,32.00,35.34,26.09,22.78,36.53,22.58,34.64,42.80,22.46,16.88,45.98
25-Jul-2010 01:00,2010,206,100,7.57,5.50,6.12,7.61,7.15,7.53,26.15,31.99,35.34,26.09,22.78,36.51,22.52,34.64,42.80,22.46,16.88,45.92
25-Jul-2010 01:30,2010,206,130,7.45,5.45,5.96,7.53,7.00,7.35,26.14,31.98,35.34,26.08,22.78,36.52,22.52,34.58,42.80,22.46,16.88,45.92
