Date,Thaw depth Unburned,Thaw depth Moderate,Thaw depth Severe
22-Jun-2008,12,18,45
22-Jun-2008,11,20,14
22-Jun-2008,10,18,43
22-Jun-2008,1,21,41
22-Jun-2008,16,11,21
22-Jun-2008,9,18,14
22-Jun-2008,7,46,48
22-Jun-2008,9,17,27
22-Jun-2008,12,40,46
22-Jun-2008,2,27,41
22-Jun-2008,7,13,16
22-Jun-2008,10,27,46
22-Jun-2008,10,18,16
22-Jun-2008,8,15,42
22-Jun-2008,16,13,32
22-Jun-2008,6,15,39
22-Jun-2008,8,22,15
22-Jun-2008,5,18,16
22-Jun-2008,9,47,42
22-Jun-2008,7,19,38
22-Jun-2008,25,48,25
22-Jun-2008,12,25,19
22-Jun-2008,9,10,17
22-Jun-2008,13,47,19
22-Jun-2008,11,14,26
22-Jun-2008,10,15,20
22-Jun-2008,19,18,33
22-Jun-2008,2,15,18
22-Jun-2008,8,18,25
22-Jun-2008,16,29,26
22-Jun-2008,15,22,46
22-Jun-2008,22,16,20
4-Jul-2008,18,31,52
4-Jul-2008,34,34,55
4-Jul-2008,24,47,15
4-Jul-2008,30,46,25
4-Jul-2008,16,25,46
4-Jul-2008,21,39,61
4-Jul-2008,13,22,19
4-Jul-2008,15,50,45
4-Jul-2008,20,20,25
4-Jul-2008,19,32,42
4-Jul-2008,20,30,42
4-Jul-2008,36,24,28
4-Jul-2008,19,58,41
4-Jul-2008,18,53,27
4-Jul-2008,25,57,52
4-Jul-2008,14,36,53
4-Jul-2008,12,43,25
4-Jul-2008,35,26,40
4-Jul-2008,44,44,31
4-Jul-2008,31,28,23
4-Jul-2008,30,36,27
4-Jul-2008,22,30,60
4-Jul-2008,26,33,57
4-Jul-2008,25,25,26
4-Jul-2008,37,24,34
4-Jul-2008,18,34,28
4-Jul-2008,23,42,42
4-Jul-2008,19,26,47
4-Jul-2008,20,42,52
4-Jul-2008,21,27,56
4-Jul-2008,28,26,51
4-Jul-2008,27,56,27
4-Jul-2008,32,45,52
4-Jul-2008,30,53,32
4-Jul-2008,29,28,55
4-Jul-2008,28,34,49
4-Jul-2008,24,32,40
4-Jul-2008,29,30,38
4-Jul-2008,33,22,38
4-Jul-2008,42,29,41
4-Jul-2008,36,27,48
4-Jul-2008,39,25,47
4-Jul-2008,22,34,58
4-Jul-2008,15,37,35
4-Jul-2008,47,28,47
4-Jul-2008,30,31,49
4-Jul-2008,36,37,41
4-Jul-2008,26,27,47
4-Jul-2008,34,31,59
4-Jul-2008,31,34,39
4-Jul-2008,26,58,44
4-Jul-2008,36,38,56
4-Jul-2008,23,43,44
4-Jul-2008,26,30,29
4-Jul-2008,16,50,29
4-Jul-2008,32,34,29
4-Jul-2008,30,24,36
4-Jul-2008,27,31,52
4-Jul-2008,31,58,43
4-Jul-2008,20,24,38
4-Jul-2008,37,33,53
4-Jul-2008,37,38,37
4-Jul-2008,37,31,58
4-Jul-2008,36,26,56
4-Jul-2008,26,40,26
4-Jul-2008,23,27,43
4-Jul-2008,20,30,41
4-Jul-2008,26,30,55
4-Jul-2008,22,30,52
4-Jul-2008,23,25,35
4-Jul-2008,32,30,61
4-Jul-2008,33,32,60
4-Jul-2008,30,28,58
4-Jul-2008,36,31,29
4-Jul-2008,31,56,31
4-Jul-2008,38,26,33
24-Jul-2008,33,34,42
24-Jul-2008,34,58,40
24-Jul-2008,48,60,63
24-Jul-2008,40,69,47
24-Jul-2008,37,41,57
24-Jul-2008,50,66,38
24-Jul-2008,41,47,43
24-Jul-2008,27,42,54
24-Jul-2008,28,32,39
24-Jul-2008,28,48,38
24-Jul-2008,54,41,36
24-Jul-2008,26,42,41
24-Jul-2008,65,44,41
24-Jul-2008,39,42,51
24-Jul-2008,17,36,51
24-Jul-2008,22,58,71
24-Jul-2008,37,43,60
24-Jul-2008,47,50,59
24-Jul-2008,37,55,41
24-Jul-2008,38,33,38
24-Jul-2008,53,63,39
24-Jul-2008,35,55,38
24-Jul-2008,37,54,48
24-Jul-2008,31,42,58
24-Jul-2008,42,40,63
24-Jul-2008,46,46,40
24-Jul-2008,38,42,45
24-Jul-2008,41,66,43
24-Jul-2008,41,50,53
