,FINAL,Severe,Moderate,Unburned,Severe,Moderate,Unburned,Severe,Moderate,Unburned,Severe,Moderate,Unburned,Severe,Moderate,Unburned,,Severe,Moderate,Unburned
Date,Year,5cm,5 cm,5 cm,10cm,10cm,10cm,20cm,20cm,20cm,30 cm,30 cm,30 cm,40cm,40cm,40cm,Depth of Measurements,Air T 2m,Air T 2m,Air T 2m
1/1/2008,2008.00000000000,,,,,,,,,,,,,,,,,,,
1/2/2008,2008.00273224044,,,,,,,,,,,,,,,,,,,
1/3/2008,2008.00546448087,,,,,,,,,,,,,,,,,,,
1/4/2008,2008.00819672131,,,,,,,,,,,,,,,,,,,
1/5/2008,2008.01092896175,,,,,,,,,,,,,,,,,,,
1/6/2008,2008.01366120219,,,,,,,,,,,,,,,,,,,
1/7/2008,2008.01639344262,,,,,,,,,,,,,,,,,,,
1/8/2008,2008.01912568306,,,,,,,,,,,,,,,,,,,
1/9/2008,2008.02185792350,,,,,,,,,,,,,,,,,,,
1/10/2008,2008.02459016393,,,,,,,,,,,,,,,,,,,
1/11/2008,2008.02732240437,,,,,,,,,,,,,,,,,,,
1/12/2008,2008.03005464481,,,,,,,,,,,,,,,,,,,
1/13/2008,2008.03278688525,,,,,,,,,,,,,,,,,,,
1/14/2008,2008.03551912568,,,,,,,,,,,,,,,,,,,
1/15/2008,2008.03825136612,,,,,,,,,,,,,,,,,,,
1/16/2008,2008.04098360656,,,,,,,,,,,,,,,,,,,
1/17/2008,2008.04371584699,,,,,,,,,,,,,,,,,,,
1/18/2008,2008.04644808743,,,,,,,,,,,,,,,,,,,
1/19/2008,2008.04918032787,,,,,,,,,,,,,,,,,,,
1/20/2008,2008.05191256831,,,,,,,,,,,,,,,,,,,
1/21/2008,2008.05464480874,,,,,,,,,,,,,,,,,,,
1/22/2008,2008.05737704918,,,,,,,,,,,,,,,,,,,
1/23/2008,2008.06010928962,,,,,,,,,,,,,,,,,,,
1/24/2008,2008.06284153005,,,,,,,,,,,,,,,,,,,
1/25/2008,2008.06557377049,,,,,,,,,,,,,,,,,,,
1/26/2008,2008.06830601093,,,,,,,,,,,,,,,,,,,
1/27/2008,2008.07103825137,,,,,,,,,,,,,,,,,,,
1/28/2008,2008.07377049180,,,,,,,,,,,,,,,,,,,
1/29/2008,2008.07650273224,,,,,,,,,,,,,,,,,,,
1/30/2008,2008.07923497268,,,,,,,,,,,,,,,,,,,
1/31/2008,2008.08196721311,,,,,,,,,,,,,,,,,,,
2/1/2008,2008.08469945355,,,,,,,,,,,,,,,,,,,
2/2/2008,2008.08743169399,,,,,,,,,,,,,,,,,,,
2/3/2008,2008.09016393443,,,,,,,,,,,,,,,,,,,
2/4/2008,2008.09289617486,,,,,,,,,,,,,,,,,,,
2/5/2008,2008.09562841530,,,,,,,,,,,,,,,,,,,
2/6/2008,2008.09836065574,,,,,,,,,,,,,,,,,,,
2/7/2008,2008.10109289617,,,,,,,,,,,,,,,,,,,
2/8/2008,2008.10382513661,,,,,,,,,,,,,,,,,,,
2/9/2008,2008.10655737705,,,,,,,,,,,,,,,,,,,
2/10/2008,2008.10928961749,,,,,,,,,,,,,,,,,,,
2/11/2008,2008.11202185792,,,,,,,,,,,,,,,,,,,
2/12/2008,2008.11475409836,,,,,,,,,,,,,,,,,,,
2/13/2008,2008.11748633880,,,,,,,,,,,,,,,,,,,
2/14/2008,2008.12021857923,,,,,,,,,,,,,,,,,,,
2/15/2008,2008.12295081967,,,,,,,,,,,,,,,,,,,
2/16/2008,2008.12568306011,,,,,,,,,,,,,,,,,,,
2/17/2008,2008.12841530055,,,,,,,,,,,,,,,,,,,
2/18/2008,2008.13114754098,,,,,,,,,,,,,,,,,,,
2/19/2008,2008.13387978142,,,,,,,,,,,,,,,,,,,
2/20/2008,2008.13661202186,,,,,,,,,,,,,,,,,,,
2/21/2008,2008.13934426230,,,,,,,,,,,,,,,,,,,
2/22/2008,2008.14207650273,,,,,,,,,,,,,,,,,,,
2/23/2008,2008.14480874317,,,,,,,,,,,,,,,,,,,
2/24/2008,2008.14754098361,,,,,,,,,,,,,,,,,,,
2/25/2008,2008.15027322404,,,,,,,,,,,,,,,,,,,
2/26/2008,2008.15300546448,,,,,,,,,,,,,,,,,,,
2/27/2008,2008.15573770492,,,,,,,,,,,,,,,,,,,
2/28/2008,2008.15846994536,,,,,,,,,,,,,,,,,,,
2/29/2008,2008.16120218579,,,,,,,,,,,,,,,,,,,
3/1/2008,2008.16393442623,,,,,,,,,,,,,,,,,,,
3/2/2008,2008.16666666667,,,,,,,,,,,,,,,,,,,
3/3/2008,2008.16939890710,,,,,,,,,,,,,,,,,,,
3/4/2008,2008.17213114754,,,,,,,,,,,,,,,,,,,
3/5/2008,2008.17486338798,,,,,,,,,,,,,,,,,,,
