Date12[DDMMYYYYhhmm],snow_depth[mm],Prain_over_canopy[mm],Psnow_over_canopy[mm],Tair[C]
01/01/2010 00:00,4.121427,0.000000,0.269180,-23.427938
02/01/2010 00:00,9.632454,0.000000,0.484970,-27.445812
03/01/2010 00:00,14.869597,0.000000,0.702163,-20.126948
04/01/2010 00:00,14.998245,0.000000,0.053857,-23.034467
05/01/2010 00:00,14.622573,0.000000,0.000018,-26.167500
06/01/2010 00:00,30.800728,0.000000,0.892067,-25.278930
07/01/2010 00:00,57.582636,0.000000,1.519956,-24.558162
08/01/2010 00:00,64.257375,0.000000,0.574229,-25.722985
09/01/2010 00:00,65.750153,0.000000,0.430676,-28.952160
10/01/2010 00:00,63.211385,0.000000,0.107688,-34.501285
11/01/2010 00:00,59.776510,0.000000,0.051292,-35.987317
12/01/2010 00:00,56.729637,0.000000,0.050689,-28.783270
13/01/2010 00:00,55.734207,0.000000,0.156618,-24.233790
14/01/2010 00:00,60.237828,0.000000,0.430676,-24.578950
15/01/2010 00:00,62.671364,0.000000,0.307634,-29.654660
16/01/2010 00:00,62.956409,0.000000,0.184585,-31.705237
17/01/2010 00:00,63.193506,0.000000,0.215344,-30.283032
18/01/2010 00:00,61.040008,0.000000,0.046163,-33.401150
19/01/2010 00:00,60.223361,0.000000,0.107688,-33.748625
20/01/2010 00:00,61.651292,0.000000,0.215358,-31.482288
21/01/2010 00:00,61.273460,0.000000,0.153827,-31.630782
22/01/2010 00:00,63.467875,0.000000,0.248474,-31.669202
23/01/2010 00:00,63.096018,0.000000,0.143572,-24.539683
24/01/2010 00:00,59.463008,0.000000,0.000026,-15.281925
25/01/2010 00:00,57.083758,0.000000,0.057447,-9.551057
26/01/2010 00:00,54.921901,0.000000,0.000021,-10.924109
27/01/2010 00:00,62.408326,0.000000,0.612004,-14.587714
28/01/2010 00:00,69.145625,0.000000,0.645988,-19.530613
29/01/2010 00:00,73.361711,0.000000,0.559860,-24.837223
30/01/2010 00:00,76.094585,0.000000,0.450260,-23.234623
31/01/2010 00:00,76.136984,0.000000,0.185989,-20.661333
01/02/2010 00:00,79.295214,0.000000,0.440457,-16.110006
02/02/2010 00:00,83.147736,0.000000,0.546613,-20.958127
03/02/2010 00:00,87.509034,0.000000,0.557331,-24.684778
04/02/2010 00:00,104.538959,0.000000,2.260915,-23.208645
05/02/2010 00:00,110.248640,0.000000,0.753656,-27.234030
06/02/2010 00:00,109.659296,0.000000,0.258408,-25.698333
07/02/2010 00:00,109.342381,0.000000,0.191421,-25.898573
08/02/2010 00:00,115.110392,0.000000,0.496923,-24.456600
09/02/2010 00:00,115.237454,0.000000,0.258408,-22.666572
