"number","org.Ks","org.vwc_s","org.vwc_r","org.VG_alpha","org.VG_n","org.thermcond","org.thermcap","min.Ks","min.vwc_s","min.vwc_r","min.VG_alpha","min.VG_n","min.thermcond","min.thermcap","RMSE","NRMSE","NSE","R2","period","var","fire"
"0001",0.168871840273815,0.84,0.04,0.000791901671466767,4.20023853788101,0.235649827121524,2857849.21008535,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,287.382024761574,0.641322338245685,-2.36408439133494,0.878656198054407,"cal","Thaw Depth","Unburned"
"0001",0.168871840273815,0.84,0.04,0.000791901671466767,4.20023853788101,0.235649827121524,2857849.21008535,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,5.9173450880144,0.527714985247396,-5.51047303229481,0.767899745848423,"cal","Tower Soil Temp","Unburned"
"0001",0.168871840273815,0.84,0.04,0.000791901671466767,4.20023853788101,0.235649827121524,2857849.21008535,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.251042780000591,0.39460592273121,-0.293529718704883,0.618482529696485,"cal","Tower VWC","Unburned"
"0001",0.168871840273815,0.84,0.04,0.000791901671466767,4.20023853788101,0.235649827121524,2857849.21008535,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,220.908668750025,0.433825809431574,-0.66564921790662,0.949439742050894,"val","Thaw Depth","Unburned"
"0001",0.168871840273815,0.84,0.04,0.000791901671466767,4.20023853788101,0.235649827121524,2857849.21008535,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,5.15460537570979,0.289874989495645,-0.0684032480993133,0.724412871777017,"val","Tower Soil Temp","Unburned"
"0001",0.168871840273815,0.84,0.04,0.000791901671466767,4.20023853788101,0.235649827121524,2857849.21008535,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.138360811819435,0.213646294112346,0.653200203320214,0.894018796166903,"val","Tower VWC","Unburned"
"0001",0.168871840273815,0.84,0.04,0.000791901671466767,4.20023853788101,0.235649827121524,2857849.21008535,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.25954268706944,0.209014548079333,0.415563083316059,0.903651829307043,"cal","Tower Soil Temp","Severe"
"0001",0.168871840273815,0.84,0.04,0.000791901671466767,4.20023853788101,0.235649827121524,2857849.21008535,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.354650681758961,0.758118509650598,-5.95786657622431,0.586959895486984,"cal","Tower VWC","Severe"
"0001",0.168871840273815,0.84,0.04,0.000791901671466767,4.20023853788101,0.235649827121524,2857849.21008535,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,171.553721995608,0.283736181376806,0.249860854596439,0.931054580891639,"val","Thaw Depth","Severe"
"0001",0.168871840273815,0.84,0.04,0.000791901671466767,4.20023853788101,0.235649827121524,2857849.21008535,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,4.06977641997824,0.153060850953317,0.666053526647971,0.756310805222692,"val","Tower Soil Temp","Severe"
"0001",0.168871840273815,0.84,0.04,0.000791901671466767,4.20023853788101,0.235649827121524,2857849.21008535,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.275698741074032,0.622813421100975,-1.25516260292601,0.403989088740301,"val","Tower VWC","Severe"
