Dz,z.tot,Kh,Kv,vwc_r,vwc_s,VG_alpha,VG_n,SS,thermcond,thermcap
5,5,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,10,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,15,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,20,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,25,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,30,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,35,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,40,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,45,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,50,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,55,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,60,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,65,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,70,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,75,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,80,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,85,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,90,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,95,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,100,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,105,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,110,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,115,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,120,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,125,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,130,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,135,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,140,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,145,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,150,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,155,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,160,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,165,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,170,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,175,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
5,180,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07,0.25,2600000
9.56730769230769,189.567307692308,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
14.1346153846154,203.701923076923,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
18.7019230769231,222.403846153846,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
23.2692307692308,245.673076923077,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
27.8365384615385,273.509615384615,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
32.4038461538462,305.913461538461,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
36.9711538461538,342.884615384615,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
41.5384615384615,384.423076923077,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
46.1057692307692,430.528846153846,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
50.6730769230769,481.201923076923,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
55.2403846153846,536.442307692308,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
59.8076923076923,596.25,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
64.375,660.625,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
68.9423076923077,729.567307692308,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
73.5096153846154,803.076923076923,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
78.0769230769231,881.153846153846,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
82.6442307692308,963.798076923077,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
87.2115384615385,1051.00961538462,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
91.7788461538462,1142.78846153846,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
96.3461538461539,1239.13461538462,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
100.913461538462,1340.04807692308,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
105.480769230769,1445.52884615385,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
110.048076923077,1555.57692307692,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
114.615384615385,1670.19230769231,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
119.182692307692,1789.375,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
123.75,1913.125,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
128.317307692308,2041.44230769231,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
132.884615384615,2174.32692307692,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
137.451923076923,2311.77884615385,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
142.019230769231,2453.79807692308,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
146.586538461538,2600.38461538462,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
151.153846153846,2751.53846153846,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
155.721153846154,2907.25961538462,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
160.288461538462,3067.54807692308,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
164.855769230769,3232.40384615385,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
169.423076923077,3401.82692307692,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
173.990384615385,3575.81730769231,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
178.557692307692,3754.375,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
183.125,3937.5,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
187.692307692308,4125.19230769231,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
192.259615384615,4317.45192307692,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
196.826923076923,4514.27884615385,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
201.394230769231,4715.67307692308,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
205.961538461538,4921.63461538462,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
210.528846153846,5132.16346153846,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
215.096153846154,5347.25961538462,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
219.663461538462,5566.92307692308,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
224.230769230769,5791.15384615385,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
228.798076923077,6019.95192307692,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
233.365384615385,6253.31730769231,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
237.932692307692,6491.25,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
