Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,6.000000,87.000000,90.000000,120.000000,160.000000,236.000000,280.000000,312.000000,387.000000,390.000000,463.000000,616.000000,650.000000,680.000000,768.000000,978.000000 
01/01/1988 23:00,726103.958333,0.000000,1,0,1,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000 
02/01/1988 23:00,726104.958333,1.000000,1,0,1,-5.689861,-5.621727,-5.619454,-5.597572,-5.506763,-5.304767,-5.209327,-5.149533,-5.036876,-5.032993,-4.952838,-4.859689,-4.846518,-4.838723,-4.820786,-4.803995 
03/01/1988 23:00,726105.958333,2.000000,1,0,1,-5.882592,-5.825624,-5.823708,-5.805199,-5.727388,-5.548434,-5.458841,-5.399634,-5.277617,-5.273118,-5.172876,-5.017877,-4.990136,-4.970126,-4.918577,-4.844878 
04/01/1988 23:00,726106.958333,3.000000,1,0,1,-6.879178,-6.754145,-6.749987,-6.709994,-6.544462,-6.173338,-5.994432,-5.879653,-5.652543,-5.644391,-5.467219,-5.209408,-5.164351,-5.131813,-5.047203,-4.917197 
05/01/1988 23:00,726107.958333,4.000000,1,0,1,-7.836113,-7.707050,-7.702550,-7.658528,-7.467096,-7.007699,-6.769628,-6.609892,-6.276912,-6.264570,-5.988748,-5.558214,-5.480281,-5.422984,-5.272890,-5.037704 
06/01/1988 23:00,726108.958333,5.000000,1,0,1,-8.705260,-8.553946,-8.548720,-8.497736,-8.277648,-7.750026,-7.474727,-7.288340,-6.893065,-6.878228,-6.541583,-5.985766,-5.880840,-5.800915,-5.587215,-5.227931 
07/01/1988 23:00,726109.958333,6.000000,1,0,1,-9.377656,-9.242492,-9.237655,-9.189884,-8.976713,-8.444532,-8.155579,-7.955292,-7.518669,-7.502006,-7.117999,-6.454414,-6.325525,-6.225085,-5.952901,-5.472160 
08/01/1988 23:00,726110.958333,7.000000,1,0,1,-10.059483,-9.903333,-9.897862,-9.844210,-9.609366,-9.034119,-8.726186,-8.513850,-8.051474,-8.033811,-7.625146,-6.902567,-6.759280,-6.645296,-6.332347,-5.752026 
09/01/1988 23:00,726111.958333,8.000000,1,0,1,-10.202881,-10.106265,-10.102589,-10.065525,-9.891147,-9.427500,-9.159671,-8.966984,-8.527598,-8.510375,-8.102990,-7.342621,-7.187743,-7.062332,-6.714696,-6.048547 
10/01/1988 23:00,726112.958333,9.000000,1,0,1,-10.783750,-10.623284,-10.617771,-10.564064,-10.333146,-9.776381,-9.480982,-9.277389,-8.831083,-8.813926,-8.412916,-7.671279,-7.518896,-7.393547,-7.042101,-6.338141 
11/01/1988 23:00,726113.958333,10.000000,1,0,1,-11.806118,-11.624159,-11.617767,-11.555051,-11.280212,-10.605289,-10.243361,-9.993631,-9.449370,-9.428565,-8.946523,-8.084906,-7.911910,-7.771977,-7.382764,-6.616075 
12/01/1988 23:00,726114.958333,11.000000,1,0,1,-12.945311,-12.726841,-12.719219,-12.644599,-12.319808,-11.527466,-11.105068,-10.814510,-10.183211,-10.159119,-9.601689,-8.609235,-8.410503,-8.250192,-7.805132,-6.934482 
13/01/1988 23:00,726115.958333,12.000000,1,0,1,-14.199858,-13.957759,-13.949247,-13.865695,-13.499661,-12.599748,-12.116719,-11.783298,-11.056474,-11.028689,-10.385068,-9.237503,-9.007779,-8.822663,-8.309175,-7.308060 
14/01/1988 23:00,726116.958333,13.000000,1,0,1,-15.167693,-14.933086,-14.924738,-14.842412,-14.477311,-13.563880,-13.063799,-12.714144,-11.939788,-11.909905,-11.211628,-9.937879,-9.679931,-9.470611,-8.888103,-7.743202 
15/01/1988 23:00,726117.958333,14.000000,1,0,1,-16.422800,-16.144643,-16.134885,-16.039167,-15.620681,-14.590548,-14.035324,-13.650429,-12.805107,-12.772624,-12.015580,-10.636601,-10.356531,-10.128159,-9.490404,-8.219977 
16/01/1988 23:00,726118.958333,15.000000,1,0,1,-17.618474,-17.353236,-17.343656,-17.248738,-16.823165,-15.747305,-15.154113,-14.738237,-13.815328,-13.779676,-12.945794,-11.417916,-11.107197,-10.853782,-10.146003,-8.733868 
