Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,6.000000,70.000000,80.000000,90.000000,120.000000,160.000000,236.000000,280.000000,312.000000,387.000000,390.000000,463.000000,616.000000,650.000000,680.000000,768.000000,978.000000 
01/01/1988 23:00,726103.958333,0.000000,1,0,1,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000 
02/01/1988 23:00,726104.958333,1.000000,1,0,1,-5.718930,-5.660936,-5.652728,-5.644747,-5.622152,-5.534513,-5.339034,-5.245154,-5.185561,-5.070988,-5.066978,-4.982823,-4.878730,-4.863181,-4.853541,-4.830767,-4.807132 
03/01/1988 23:00,726105.958333,2.000000,1,0,1,-5.927311,-5.879012,-5.872113,-5.865385,-5.846209,-5.770649,-5.596777,-5.508805,-5.450264,-5.328470,-5.323951,-5.222508,-5.061054,-5.031443,-5.009559,-4.952284,-4.864892 
04/01/1988 23:00,726106.958333,3.000000,1,0,1,-6.957042,-6.850582,-6.835505,-6.820844,-6.779333,-6.618291,-6.257246,-6.081186,-5.967289,-5.739350,-5.731106,-5.550482,-5.280583,-5.232496,-5.197201,-5.104501,-4.956299 
05/01/1988 23:00,726107.958333,4.000000,1,0,1,-7.955271,-7.846530,-7.830458,-7.814637,-7.768688,-7.580833,-7.132263,-6.898492,-6.740902,-6.409892,-6.397557,-6.120154,-5.676731,-5.594949,-5.533794,-5.371914,-5.107927 
06/01/1988 23:00,726108.958333,5.000000,1,0,1,-8.857244,-8.729492,-8.710756,-8.692349,-8.639078,-8.422616,-7.906414,-7.635910,-7.452162,-7.060462,-7.045706,-6.709467,-6.144943,-6.036935,-5.953582,-5.728813,-5.337724 
07/01/1988 23:00,726109.958333,6.000000,1,0,1,-9.555044,-9.442090,-9.424984,-9.408029,-9.358077,-9.147900,-8.626858,-8.343281,-8.146299,-7.715265,-7.698771,-7.317404,-6.649518,-6.518403,-6.415145,-6.133373,-5.621421 
08/01/1988 23:00,726110.958333,7.000000,1,0,1,-10.256709,-10.125494,-10.105992,-10.086757,-10.030657,-9.799089,-9.235540,-8.933129,-8.724215,-8.267977,-8.250515,-7.845524,-7.122601,-6.978149,-6.862331,-6.542630,-5.936148 
09/01/1988 23:00,726111.958333,8.000000,1,0,1,-10.405919,-10.327051,-10.314408,-10.301684,-10.263055,-10.091198,-9.638091,-9.376202,-9.187605,-8.756618,-8.739698,-8.338607,-7.583277,-7.428341,-7.301988,-6.950070,-6.262417 
10/01/1988 23:00,726112.958333,9.000000,1,0,1,-10.994383,-10.859333,-10.839600,-10.820227,-10.764239,-10.537150,-9.992919,-9.703472,-9.503691,-9.064935,-9.048049,-8.652863,-7.918257,-7.766689,-7.641426,-7.289016,-6.572255 
