Dz,z.tot,Kh,Kv,vwc_r,vwc_s,VG_alpha,VG_n,SS,thermcond,thermcap
10,10,0.17,0.17,0.01,0.55,0.0127,1.2,1e-07,0.25,2600000
10,20,0.17,0.17,0.01,0.55,0.0127,1.2,1e-07,0.25,2600000
10,30,0.17,0.17,0.01,0.55,0.0127,1.2,1e-07,0.25,2600000
10,40,0.17,0.17,0.01,0.55,0.0127,1.2,1e-07,0.25,2600000
10,50,0.17,0.17,0.01,0.55,0.0127,1.2,1e-07,0.25,2600000
10,60,0.17,0.17,0.01,0.55,0.0127,1.2,1e-07,0.25,2600000
10,70,0.17,0.17,0.01,0.55,0.0127,1.2,1e-07,0.25,2600000
10,80,0.17,0.17,0.01,0.55,0.0127,1.2,1e-07,0.25,2600000
10,90,0.17,0.17,0.01,0.55,0.0127,1.2,1e-07,0.25,2600000
10,100,0.17,0.17,0.01,0.55,0.0127,1.2,1e-07,0.25,2600000
10,110,0.17,0.17,0.01,0.55,0.0127,1.2,1e-07,0.25,2600000
16.0408163265306,126.040816326531,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
22.0816326530612,148.122448979592,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
28.1224489795918,176.244897959184,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
34.1632653061224,210.408163265306,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
40.2040816326531,250.612244897959,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
46.2448979591837,296.857142857143,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
52.2857142857143,349.142857142857,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
58.3265306122449,407.469387755102,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
64.3673469387755,471.836734693877,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
70.4081632653061,542.244897959184,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
76.4489795918367,618.69387755102,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
82.4897959183673,701.183673469388,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
88.530612244898,789.714285714286,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
94.5714285714286,884.285714285714,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
100.612244897959,984.897959183673,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
106.65306122449,1091.55102040816,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
112.69387755102,1204.24489795918,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
118.734693877551,1322.97959183673,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
124.775510204082,1447.75510204082,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
130.816326530612,1578.57142857143,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
136.857142857143,1715.42857142857,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
142.897959183673,1858.32653061225,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
148.938775510204,2007.26530612245,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
154.979591836735,2162.24489795918,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
161.020408163265,2323.26530612245,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
167.061224489796,2490.32653061224,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
173.102040816327,2663.42857142857,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
179.142857142857,2842.57142857143,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
185.183673469388,3027.75510204082,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
191.224489795918,3218.97959183674,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
197.265306122449,3416.24489795918,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
203.30612244898,3619.55102040816,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
209.34693877551,3828.89795918367,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
215.387755102041,4044.28571428572,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
221.428571428571,4265.71428571429,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
227.469387755102,4493.18367346939,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
233.510204081633,4726.69387755102,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
239.551020408163,4966.24489795918,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
245.591836734694,5211.83673469388,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
251.632653061224,5463.4693877551,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
257.673469387755,5721.14285714286,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
263.714285714286,5984.85714285714,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
269.755102040816,6254.61224489796,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
275.795918367347,6530.40816326531,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
281.836734693878,6812.24489795918,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
287.877551020408,7100.12244897959,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
293.918367346939,7394.04081632653,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
299.959183673469,7694,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
306,8000,0.00125,0.00125,0.01,0.45,0.002,1.41,1e-07,1.62,2e+06
